Cheung Chau,true,Test valid input
Lamma Island,true,Test valid input
Lantau,true,Test valid input
Mui Wo,true,Test valid input
Peng Chau,true,Test valid input
Shenzhen,true,Test valid input
Hung Shui Kiu,true,Test valid input
Kam Tin,true,Test valid input
Ma Wan,true,Test valid input
Sha Tau Kok,true,Test valid input
Deep Bay,true,Test valid input
Stanley,true,Test valid input
Wah Fu,true,Test valid input
Discovery Bay,true,Test valid input
Fanling,true,Test valid input
Lo Wu,true,Test valid input
Sai Kung,true,Test valid input
Sheung Shui,true,Test valid input
Tin Shui Wai,true,Test valid input
Tsing Lung Tau,true,Test valid input
Tuen Mun,true,Test valid input
Tung Chung,true,Test valid input
Yuen Long,true,Test valid input
Aberdeen,true,Test valid input
Ap Lei Chau,true,Test valid input
Chai Wan,true,Test valid input
Mid Level,true,Test valid input
Pok Fu Lam,true,Test valid input
Siu Sai Wan,true,Test valid input
South Horizons,true,Test valid input
Kwun Tong,true,Test valid input
Laguna City,true,Test valid input
Lai Chi Kok,true,Test valid input
Lam Tin,true,Test valid input
Lok Wah,true,Test valid input
Ngau Chi Wan,true,Test valid input
Sau Mau Ping,true,Test valid input
Yau Tong,true,Test valid input
Fo Tan,true,Test valid input
Hang Hau,true,Test valid input
Kwai Chung,true,Test valid input
Kwai Fong,true,Test valid input
Kwai Shing,true,Test valid input
Lai King,true,Test valid input
Ma On Shan,true,Test valid input
Po Lam,true,Test valid input
Shatin,true,Test valid input
Tai Po,true,Test valid input
Tai Wai,true,Test valid input
Tai Wo Hau,true,Test valid input
Tseung Kwan O,true,Test valid input
Tsing Yi,true,Test valid input
Tsuen Wan,true,Test valid input
Causeway Bay,true,Test valid input
Central,true,Test valid input
Fortress Hill,true,Test valid input
Happy Valley,true,Test valid input
Kennedy Town,true,Test valid input
North Point,true,Test valid input
Quarry Bay,true,Test valid input
Sai Wan Ho,true,Test valid input
Sai Ying Pun,true,Test valid input
Shau Kei Wan,true,Test valid input
Sheung Wan,true,Test valid input
Tai Hang,true,Test valid input
Tai Koo Shing,true,Test valid input
Tin Hau,true,Test valid input
Wan Chai,true,Test valid input
Western District,true,Test valid input
Wong Chuk Hang,true,Test valid input
Cheung Sha Wan,true,Test valid input
Chuk Yuen,true,Test valid input
Choi Hung,true,Test valid input
Diamond Hill,true,Test valid input
Ho Man Tin,true,Test valid input
Hung Hom,true,Test valid input
Jordan,true,Test valid input
Kowloon Bay,true,Test valid input
Kowloon City,true,Test valid input
Lok Fu,true,Test valid input
Ma Tau Wai,true,Test valid input
Mei Foo,true,Test valid input
Ngau Tau Kok Mongkok,true,Test valid input
Ping Shek,true,Test valid input
San Po Kong,true,Test valid input
Sham Shui Po,true,Test valid input
Shek Kip Mei,true,Test valid input
Tai Kok Tsui,true,Test valid input
To Kwa Wan,true,Test valid input
Tsz Wan Shan,true,Test valid input
Wang Tau Hom,true,Test valid input
Whampoa,true,Test valid input
Wong Tai Sin,true,Test valid input
Yau Ma Tei,true,Test valid input
Kowloon Tong,true,Test valid input
Other String,false,Test invalid input
